Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,GA,Georgia,Columbus,7.9,7.6,8.2,,,
2017,GA,Georgia,Columbus,5.6,5.5,5.7,,,
2017,GA,Georgia,Sandy Springs,3.5,3.4,3.6,,,
2017,GA,Georgia,Columbus,6.5,6.2,6.7,,,
2017,GA,Georgia,Savannah,5.6,5.4,5.7,,,
2017,HI,Hawaii,Honolulu,5.5,5.3,5.7,,,
2017,GA,Georgia,Columbus,5.3,5.1,5.5,,,
2017,HI,Hawaii,Honolulu,6.6,6.4,6.9,,,
2017,HI,Hawaii,Honolulu,7.1,6.8,7.3,,,
2017,GA,Georgia,Savannah,3.9,3.8,4,,,
2017,GA,Georgia,Augusta,5,4.9,5.1,,,
2017,GA,Georgia,Roswell,4.9,4.8,5.1,,,
2017,HI,Hawaii,Honolulu,5.3,5.1,5.4,,,
2017,ID,Idaho,Boise City,6.8,6.6,7.1,,,
2017,GA,Georgia,Augusta,7.1,6.8,7.2,,,
2017,GA,Georgia,Warner Robins,6.7,6.4,6.8,,,
2017,GA,Georgia,Johns Creek,5.5,5.4,5.6,,,
2017,ID,Idaho,Boise City,6.8,6.5,6.9,,,
2017,ID,Idaho,Boise City,5.7,5.5,5.9,,,
2017,HI,Hawaii,Honolulu,4.3,4.2,4.4,,,
2017,HI,Hawaii,Honolulu,3.7,3.6,3.8,,,
2017,GA,Georgia,Savannah,5.5,5.4,5.5,,,
2017,GA,Georgia,Sandy Springs,7.8,7.7,8,,,
2017,GA,Georgia,Savannah,5.5,5.3,5.7,,,
2017,GA,Georgia,Roswell,3.9,3.7,4,,,
2017,GA,Georgia,Savannah,,,,,,
2017,HI,Hawaii,Honolulu,3.6,3.5,3.7,,,
2017,HI,Hawaii,Honolulu,4.9,4.8,5.1,,,
2017,HI,Hawaii,Honolulu,4.2,4.1,4.3,,,
2017,HI,Hawaii,Honolulu,7.2,7.1,7.3,,,
2017,GA,Georgia,Sandy Springs,5.4,5.2,5.8,,,
2017,GA,Georgia,Savannah,5.2,5,5.4,,,
2017,GA,Georgia,Columbus,1.5,1.5,1.6,,,
2017,GA,Georgia,Columbus,5.6,5.4,5.7,,,
2017,GA,Georgia,Roswell,6.6,6.4,6.9,,,
2017,HI,Hawaii,Honolulu,3.6,3.5,3.8,,,
2017,GA,Georgia,Macon,6.3,6,6.4,,,
2017,HI,Hawaii,Honolulu,5.4,5.3,5.5,,,
2017,HI,Hawaii,Honolulu,,,,,,
2017,GA,Georgia,Warner Robins,5.6,5.4,5.8,,,
2017,HI,Hawaii,Honolulu,6.7,6.5,7,,,
2017,HI,Hawaii,Honolulu,6.2,6.1,6.4,,,
2017,GA,Georgia,Augusta,6.4,6.2,7,,,
2017,GA,Georgia,Columbus,5.4,5.2,5.6,,,
2017,GA,Georgia,Savannah,4.1,3.9,4.3,,,
2017,HI,Hawaii,Honolulu,4.3,4.2,4.4,,,
2017,HI,Hawaii,Honolulu,4,3.9,4.2,,,
2017,HI,Hawaii,Honolulu,5.9,5.7,6.1,,,
2017,ID,Idaho,Boise City,7.9,7.7,8.2,,,
2017,HI,Hawaii,Honolulu,6.9,6.6,7.3,,,
2017,GA,Georgia,Warner Robins,5.4,5.4,5.4,,,
2017,GA,Georgia,Sandy Springs,6.3,6.2,6.5,,,
2017,ID,Idaho,Meridian,5.3,5.2,5.6,,,
2017,GA,Georgia,Savannah,1.5,1.4,1.5,,,
2017,HI,Hawaii,Honolulu,6.2,6.1,6.4,,,
2017,GA,Georgia,Columbus,7,6.7,7.2,,,
2017,GA,Georgia,Johns Creek,4.9,4.7,4.9,,,
2017,GA,Georgia,Macon,5.3,5.2,5.5,,,
2017,ID,Idaho,Boise City,8.4,7.9,8.8,,,
2017,GA,Georgia,Johns Creek,6.3,6,6.7,,,
2017,GA,Georgia,Savannah,5.1,4.9,5.4,,,
2017,ID,Idaho,Boise City,5.9,5.7,6.1,,,
2017,GA,Georgia,Augusta,6.8,6.4,7.1,,,
2017,HI,Hawaii,Honolulu,5.1,5,5.2,,,
2017,GA,Georgia,Sandy Springs,10.3,9.1,11.3,,,
2017,GA,Georgia,Savannah,,,,,,
2017,ID,Idaho,Meridian,6.4,6.1,6.5,,,
2017,ID,Idaho,Boise City,5.7,5.5,6.1,,,
2017,GA,Georgia,Columbus,6.1,5.8,6.2,,,
2017,GA,Georgia,Roswell,8.6,8.3,9,,,
2017,GA,Georgia,Columbus,4.5,4.3,4.7,,,
2017,GA,Georgia,Augusta,8.6,8.3,8.9,,,
2017,GA,Georgia,Savannah,5.1,4.9,5.2,,,
2017,HI,Hawaii,Honolulu,6.2,6,6.5,,,
2017,ID,Idaho,Nampa,6,5.9,6.2,,,
2017,GA,Georgia,Augusta,5,4.9,5.1,,,
2017,HI,Hawaii,Honolulu,8.4,8.1,8.8,,,
2017,HI,Hawaii,Honolulu,3.4,3.3,3.5,,,
2017,GA,Georgia,Sandy Springs,7.8,7.4,8.1,,,
2017,GA,Georgia,Macon,7,6.8,7.2,,,
2017,HI,Hawaii,Honolulu,5.8,5.7,6,,,
2017,GA,Georgia,Warner Robins,5.4,5.2,5.7,,,
2017,HI,Hawaii,Honolulu,10.9,10.4,11.4,,,
2017,HI,Hawaii,Honolulu,5.6,5.4,5.8,,,
2017,GA,Georgia,Columbus,7.5,7.1,7.8,,,
2017,HI,Hawaii,Honolulu,6.7,6.5,7,,,
2017,HI,Hawaii,Honolulu,5.3,5.1,5.4,,,
2017,ID,Idaho,Nampa,4.9,4.8,5,,,
2017,HI,Hawaii,Honolulu,4.6,4.5,4.7,,,
2017,ID,Idaho,Boise City,6.4,6.4,6.5,,,
2017,GA,Georgia,Warner Robins,5,4.9,5.1,,,
2017,HI,Hawaii,Honolulu,5.5,5.2,5.7,,,
2017,HI,Hawaii,Honolulu,8.4,8.2,8.6,,,
2017,ID,Idaho,Boise City,7.2,6.8,7.5,,,
2017,HI,Hawaii,Honolulu,7.1,6.9,7.4,,,
2017,GA,Georgia,Johns Creek,6.3,6,6.5,,,
2017,GA,Georgia,Macon,5.9,5.6,6.1,,,
2017,GA,Georgia,Macon,,,,,,
2017,GA,Georgia,Augusta,5,4.8,5.1,,,
2017,GA,Georgia,Sandy Springs,3.4,3.3,3.4,,,
2017,GA,Georgia,Savannah,5.2,5.1,5.4,,,
2017,HI,Hawaii,Honolulu,6.6,6.4,6.9,,,
2017,ID,Idaho,Boise City,6.8,6.5,7,,,
2017,GA,Georgia,Augusta,6.2,6.1,6.4,,,
2017,GA,Georgia,Columbus,4.3,4.2,4.5,,,
2017,HI,Hawaii,Honolulu,6.9,6.5,7.2,,,
2017,ID,Idaho,Nampa,7.7,7.4,8.1,,,
2017,ID,Idaho,Boise City,7.2,6.9,7.4,,,
2017,GA,Georgia,Columbus,11.1,10.7,11.6,,,
2017,GA,Georgia,Sandy Springs,5.4,5.3,5.6,,,
2017,HI,Hawaii,Honolulu,3.2,3.1,3.3,,,
2017,GA,Georgia,Augusta,5.4,5.2,5.6,,,
2017,GA,Georgia,Columbus,6.7,6.5,6.9,,,
2017,HI,Hawaii,Honolulu,4.8,4.6,5,,,
2017,HI,Hawaii,Honolulu,8,7.8,8.3,,,
2017,GA,Georgia,Johns Creek,4.9,4.7,5.2,,,
2017,GA,Georgia,Augusta,5.7,5.5,5.9,,,
2017,GA,Georgia,Roswell,2.5,2.5,2.6,,,
2017,GA,Georgia,Macon,9.5,9.2,10.1,,,
2017,GA,Georgia,Macon,5.9,5.9,6,,,
2017,GA,Georgia,Macon,5.3,5.1,5.4,,,
2017,GA,Georgia,Columbus,5.6,5.4,5.7,,,
2017,GA,Georgia,Roswell,4,4,4.2,,,
2017,HI,Hawaii,Honolulu,5.1,4.9,5.3,,,
2017,ID,Idaho,Boise City,6.8,6.5,7,,,
2017,HI,Hawaii,Honolulu,5.6,5.4,5.8,,,
2017,HI,Hawaii,Honolulu,6.9,6.7,7.1,,,
2017,HI,Hawaii,Honolulu,0.9,0.8,0.9,,,
2017,HI,Hawaii,Honolulu,7.4,6.9,7.7,,,
2017,HI,Hawaii,Honolulu,7.6,7.4,7.9,,,
2017,HI,Hawaii,Honolulu,6.6,6.5,6.7,,,
2017,GA,Georgia,Savannah,6,5.9,6.1,,,
2017,GA,Georgia,Macon,8.3,7.9,8.7,,,
2017,HI,Hawaii,Honolulu,2.2,2.1,2.3,,,
2017,HI,Hawaii,Honolulu,4.5,4.4,4.6,,,
2017,HI,Hawaii,Honolulu,8,7.9,8.3,,,
2017,GA,Georgia,Augusta,9.9,9.5,10.3,,,
2017,GA,Georgia,Warner Robins,7.1,6.7,7.5,,,
2017,GA,Georgia,Warner Robins,5.4,5.2,5.5,,,
2017,ID,Idaho,Boise City,5.6,5.5,5.8,,,
2017,HI,Hawaii,Honolulu,5.2,4.9,5.6,,,
2017,HI,Hawaii,Honolulu,1.8,1.7,1.9,,,
2017,HI,Hawaii,Honolulu,5.8,5.5,6,,,
2017,GA,Georgia,Savannah,5.4,5.2,5.7,,,
2017,GA,Georgia,Sandy Springs,4.2,4.1,4.3,,,
2017,HI,Hawaii,Honolulu,6.1,5.8,6.3,,,
2017,GA,Georgia,Columbus,5.5,5.2,5.6,,,
2017,GA,Georgia,Savannah,7.3,6.9,7.7,,,
2017,GA,Georgia,Macon,6.1,5.9,6.5,,,
2017,HI,Hawaii,Honolulu,6.4,6.3,6.7,,,
2017,GA,Georgia,Augusta,4.8,4.6,4.9,,,
2017,GA,Georgia,Johns Creek,5.6,5.5,5.6,,,
2017,GA,Georgia,Augusta,5.6,5.5,5.9,,,
2017,GA,Georgia,Columbus,4,3.9,4,,,
2017,GA,Georgia,Columbus,5.9,5.8,6.1,,,
2017,GA,Georgia,Savannah,7.1,6.8,7.3,,,
2017,ID,Idaho,Nampa,5.9,5.6,6.1,,,
2017,HI,Hawaii,Honolulu,6.8,6.6,7,,,
2017,HI,Hawaii,Honolulu,4.4,4.2,4.5,,,
2017,GA,Georgia,Roswell,6.3,6.2,6.4,,,
2017,GA,Georgia,Augusta,6.2,6,6.3,,,
2017,HI,Hawaii,Honolulu,7.4,7.1,7.9,,,
2017,GA,Georgia,Savannah,6.3,6,6.7,,,
2017,ID,Idaho,Boise City,6.4,6.2,6.6,,,
