Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
2017,IL,Illinois,Decatur,10,9.5,10.5
2017,IL,Illinois,Naperville,8.3,8,8.8
2017,IL,Illinois,Cicero,8.4,8.2,8.6
2017,IL,Illinois,Joliet,8.8,8.4,9.2
2017,IL,Illinois,Palatine,7.7,7.3,8.2
2017,IL,Illinois,Decatur,13.5,12.9,14.2
2017,IL,Illinois,Peoria,11.9,11.4,12.6
2017,IL,Illinois,Elgin,7.6,7.2,8.1
2017,IL,Illinois,Joliet,9.2,8.7,9.8
2017,IL,Illinois,Naperville,8.3,7.9,8.8
2017,IL,Illinois,Joliet,9.1,8.7,9.6
2017,AL,Alabama,Birmingham,13.2,12.3,14.2
2017,AL,Alabama,Birmingham,12.9,12,14
2017,IL,Illinois,Elgin,8.7,8.4,9.1
2017,IL,Illinois,Peoria,9.4,8.9,9.9
2017,IL,Illinois,Joliet,9.9,9.4,10.5
2017,IL,Illinois,Decatur,9.2,8.7,9.7
2017,IL,Illinois,Evanston,7.4,7.1,7.8
2017,IL,Illinois,Peoria,9,8.6,9.4
2017,IL,Illinois,Joliet,11.9,11.2,12.7
2017,IL,Illinois,Naperville,8.4,8.1,8.8
2017,IL,Illinois,Palatine,8.1,7.6,8.7
2017,IL,Illinois,Peoria,14.1,13.1,15.1
2017,IL,Illinois,Joliet,9.6,8.9,10.5
2017,IL,Illinois,Peoria,12.5,11.9,13.2
2017,IL,Illinois,Palatine,7.9,7.4,8.4
2017,IL,Illinois,Naperville,7.9,7.4,8.5
2017,IL,Illinois,Decatur,12.4,11.8,13.1
2017,IL,Illinois,Cicero,9,8.3,9.7
2017,IL,Illinois,Elgin,9.4,8.8,10.1
2017,IL,Illinois,Decatur,10.4,9.8,11.1
2017,IL,Illinois,Cicero,8.4,7.7,9.2
2017,IL,Illinois,Peoria,10.9,10.5,11.4
2017,IL,Illinois,Naperville,7.6,7.3,8.1
2017,IL,Illinois,Evanston,7.3,6.8,7.9
2017,IL,Illinois,Elgin,8.8,8.3,9.4
2017,IL,Illinois,Peoria,13.8,12.9,14.7
2017,IL,Illinois,Naperville,8.1,7.6,8.8
2017,IL,Illinois,Naperville,8,7.5,8.6
2017,IL,Illinois,Joliet,11,10.6,11.5
2017,IL,Illinois,Joliet,11.1,10.6,11.8
2017,IL,Illinois,Cicero,8.4,7.7,9.2
2017,IL,Illinois,Cicero,8.1,7.5,8.9
2017,IL,Illinois,Decatur,12.6,11.7,13.8
2017,IL,Illinois,Elgin,,,
2017,IL,Illinois,Decatur,11.4,10.7,12.2
2017,IL,Illinois,Elgin,8.4,8,9
2017,IL,Illinois,Evanston,8.6,8,9.6
2017,IL,Illinois,Naperville,,,
2017,IL,Illinois,Peoria,12.1,11.4,12.8
2017,MI,Michigan,Detroit,15.1,14,16.3
2017,IL,Illinois,Joliet,9.4,8.8,10.1
2017,IL,Illinois,Peoria,8.1,7.8,8.5
2017,IL,Illinois,Naperville,7.6,7.3,8
2017,IL,Illinois,Decatur,10.7,9.9,11.8
2017,IL,Illinois,Elgin,9.1,8.6,9.6
2017,IL,Illinois,Joliet,9.9,9.1,10.6
2017,IL,Illinois,Joliet,9.2,8.7,9.8
2017,IL,Illinois,Palatine,7.9,7.8,8.1
2017,IL,Illinois,Decatur,9.1,8.6,9.8
2017,IL,Illinois,Elgin,8.3,7.9,8.9
2017,IL,Illinois,Evanston,7.7,7.3,8.2
2017,IL,Illinois,Naperville,8,7.7,8.4
2017,IL,Illinois,Cicero,8.6,7.9,9.4
2017,IL,Illinois,Joliet,9.1,8.7,9.7
2017,IL,Illinois,Joliet,9,8.6,9.4
2017,IL,Illinois,Joliet,9.1,8.6,9.7
2017,IL,Illinois,Peoria,12.2,11.6,12.8
2017,IL,Illinois,Palatine,7.7,7.4,8.1
2017,IL,Illinois,Naperville,8,7.5,8.4
2017,IL,Illinois,Naperville,7.8,7.5,8.3
2017,IL,Illinois,Joliet,,,
2017,IL,Illinois,Peoria,9.2,8.8,9.8
2017,IL,Illinois,Naperville,8.2,7.7,8.9
2017,IL,Illinois,Joliet,9,8.6,9.6
2017,IL,Illinois,Palatine,7.1,6.7,7.5
2017,IL,Illinois,Joliet,11,10.3,11.6
2017,IL,Illinois,Cicero,8.8,8.1,9.5
2017,IL,Illinois,Decatur,9,8.5,9.7
2017,IL,Illinois,Palatine,7.4,7,8.1
2017,IL,Illinois,Cicero,8,7.6,8.5
2017,IL,Illinois,Evanston,8.3,8.1,8.4
2017,IL,Illinois,Joliet,9.7,8.9,10.5
2017,IL,Illinois,Decatur,12,11.4,12.6
2017,IL,Illinois,Peoria,14.6,13.7,15.8
2017,IL,Illinois,Elgin,,,
2017,IL,Illinois,Joliet,11,10.5,11.7
2017,IL,Illinois,Peoria,9.8,9.4,10.3
2017,IL,Illinois,Naperville,8.3,7.9,8.9
2017,IL,Illinois,Peoria,8,7.5,8.6
2017,IL,Illinois,Naperville,8.1,7.6,8.6
