Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,IL,Illinois,Chicago,9.7,9,10.3,,,
2017,IL,Illinois,Naperville,7,6.4,7.6,,,
2017,IL,Illinois,Chicago,19,17.8,20.2,,,
2017,IL,Illinois,Chicago,15.9,14.4,17.2,,,
2017,IL,Illinois,Chicago,10.9,10.2,11.6,,,
2017,IL,Illinois,Naperville,8.2,7.5,9.1,,,
2017,IL,Illinois,Chicago,17.4,16,18.8,,,
2017,IL,Illinois,Elgin,7.9,7.4,8.4,,,
2017,IL,Illinois,Chicago,22.8,21.3,24.3,,,
2017,IL,Illinois,Chicago,5.4,5.1,5.8,,,
2017,IL,Illinois,Chicago,3.9,3.7,4.1,,,
2017,IL,Illinois,Decatur,17,15.6,18.3,,,
2017,IL,Illinois,Chicago,2.8,2.6,3.1,,,
2017,IL,Illinois,Chicago,4,3.8,4.2,,,
2017,IL,Illinois,Chicago,2.2,2,2.3,,,
2017,IL,Illinois,Chicago,5.8,5.4,6.2,,,
2017,IL,Illinois,Decatur,11.3,10.3,12.4,,,
2017,IL,Illinois,Chicago,4.6,4.3,5,,,
2017,IL,Illinois,Chicago,16.6,15.1,17.9,,,
2017,IL,Illinois,Chicago,10.7,9.8,11.5,,,
2017,IL,Illinois,Chicago,16.2,15.3,17.3,,,
2017,IL,Illinois,Chicago,11.9,11.1,12.6,,,
2017,IL,Illinois,Chicago,12.5,11.7,13.2,,,
2017,IL,Illinois,Chicago,18.5,17.2,19.7,,,
2017,IL,Illinois,Joliet,11.6,11.1,12.2,,,
2017,IL,Illinois,Chicago,3.5,3.3,3.7,,,
2017,IL,Illinois,Chicago,12.5,11.7,13.3,,,
2017,IL,Illinois,Chicago,6.8,6.2,7.4,,,
2017,IL,Illinois,Chicago,13.7,12.8,14.5,,,
2017,IL,Illinois,Chicago,7.6,7,8.3,,,
2017,IL,Illinois,Chicago,17.6,16.4,18.8,,,
2017,IL,Illinois,Chicago,19.8,18.5,21,,,
2017,IL,Illinois,Chicago,16.6,15.5,17.5,,,
2017,IL,Illinois,Palatine,7.4,6.7,8.2,,,
2017,IL,Illinois,Chicago,17.2,15.8,18.7,,,
2017,IL,Illinois,Peoria,15.5,14.8,16.2,,,
2017,IL,Illinois,Chicago,13.7,12.7,14.7,,,
2017,IL,Illinois,Chicago,5,4.5,5.5,,,
2017,IL,Illinois,Chicago,7.4,6.9,8,,,
2017,IL,Illinois,Chicago,13,12.3,13.7,,,
2017,IL,Illinois,Chicago,9.5,8.9,10.1,,,
2017,IL,Illinois,Chicago,17.6,16.5,18.8,,,
2017,IL,Illinois,Chicago,11,10.3,11.7,,,
2017,IL,Illinois,Joliet,9.7,8.9,10.5,,,
2017,IL,Illinois,Elgin,11.2,10.5,11.8,,,
2017,IL,Illinois,Decatur,12.5,11.3,13.6,,,
2017,IL,Illinois,Evanston,10.6,9.9,11.3,,,
2017,IL,Illinois,Peoria,10.8,9.8,11.8,,,
2017,IL,Illinois,Joliet,12.9,12,13.9,,,
2017,IL,Illinois,Chicago,9.5,8.8,10.2,,,
2017,IL,Illinois,Chicago,8.1,7.7,8.7,,,
2017,IL,Illinois,Naperville,7.9,7.1,8.9,,,
2017,IL,Illinois,Chicago,11.4,10.8,12.2,,,
2017,IL,Illinois,Chicago,17.4,16.2,18.6,,,
2017,IL,Illinois,Chicago,10.4,10,10.9,,,
2017,IL,Illinois,Peoria,10.6,9.9,11.3,,,
2017,IL,Illinois,Cicero,10.4,9.7,11.1,,,
2017,IL,Illinois,Naperville,8.7,8.1,9.5,,,
2017,IL,Illinois,Chicago,8.4,7.6,9.2,,,
2017,IL,Illinois,Joliet,11,10.6,11.5,,,
2017,IL,Illinois,Chicago,5.7,5.4,6.1,,,
2017,IL,Illinois,Decatur,15.7,15,16.4,,,
2017,IL,Illinois,Decatur,14.8,13.9,15.7,,,
2017,IL,Illinois,Decatur,16,15.5,16.5,,,
2017,IL,Illinois,Chicago,13.8,12.8,14.8,,,
2017,IL,Illinois,Chicago,3,2.8,3.3,,,
2017,IL,Illinois,Decatur,11.5,10.7,12.3,,,
2017,IL,Illinois,Peoria,7.3,6.9,7.7,,,
2017,IL,Illinois,Chicago,8.5,8.1,8.9,,,
2017,IL,Illinois,Chicago,8.5,7.9,9.2,,,
2017,IL,Illinois,Chicago,9.4,9,10,,,
2017,IL,Illinois,Chicago,17.7,16.4,19,,,
2017,IL,Illinois,Chicago,4.1,3.9,4.4,,,
2017,IL,Illinois,Chicago,17.3,16.1,18.4,,,
2017,IL,Illinois,Chicago,13.7,12.6,14.8,,,
2017,IL,Illinois,Evanston,7.2,6.5,8,,,
2017,IL,Illinois,Joliet,9.8,9.3,10.2,,,
2017,IL,Illinois,Chicago,8.4,7.7,9.1,,,
2017,IL,Illinois,Chicago,5.4,5.2,5.7,,,
2017,IL,Illinois,Chicago,18.5,17.1,19.9,,,
2017,IL,Illinois,Chicago,20.3,19.1,21.6,,,
2017,IL,Illinois,Chicago,11.2,10.5,11.9,,,
2017,IL,Illinois,Chicago,5.9,5.5,6.3,,,
2017,IL,Illinois,Chicago,5.3,5,5.7,,,
2017,IL,Illinois,Chicago,12.6,11.7,13.6,,,
2017,IL,Illinois,Chicago,15.7,14.5,16.9,,,
2017,IL,Illinois,Chicago,8.2,7.5,8.9,,,
2017,IL,Illinois,Chicago,12,11.2,12.8,,,
2017,IL,Illinois,Chicago,17.1,16.1,18.2,,,
2017,IL,Illinois,Chicago,7.8,7.3,8.2,,,
2017,IL,Illinois,Naperville,7.2,6.5,8,,,
2017,IL,Illinois,Peoria,20.4,19.6,21.1,,,
2017,IL,Illinois,Chicago,12.6,12.1,13.2,,,
2017,IL,Illinois,Palatine,8.6,8,9.1,,,
2017,IL,Illinois,Chicago,11.6,11,12.2,,,
2017,IL,Illinois,Chicago,14.9,13.7,16.1,,,
2017,IL,Illinois,Elgin,9.3,8.7,9.8,,,
2017,IL,Illinois,Chicago,15.1,14.3,15.9,,,
2017,IL,Illinois,Chicago,7.2,6.6,7.7,,,
2017,IL,Illinois,Chicago,19.6,18.4,20.9,,,
2017,IL,Illinois,Chicago,14.1,13.1,15.1,,,
2017,IL,Illinois,Chicago,15.3,14.4,16.1,,,
2017,IL,Illinois,Chicago,6.7,6.3,7.1,,,
2017,IL,Illinois,Chicago,3.6,3.4,4,,,
2017,IL,Illinois,Elgin,8.6,8,9.3,,,
2017,IL,Illinois,Chicago,10.7,9.9,11.6,,,
2017,IL,Illinois,Peoria,10.1,9.4,10.9,,,
2017,IL,Illinois,Cicero,12,11.2,12.8,,,
2017,IL,Illinois,Chicago,10.2,9.6,10.8,,,
2017,IL,Illinois,Naperville,7.1,6.6,7.5,,,
2017,IL,Illinois,Joliet,10.4,9.6,11.2,,,
2017,IL,Illinois,Chicago,6.2,5.7,6.8,,,
