STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
TX,,170417, ,,,,, ,,,
TX,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
TX,City of Abilene,122480,591,8,97,104,382,"3,528",734,"2,561",233
TX,Total area actually reporting,1,670,9,109,112,440,"4,025",910,"2,846",269
TX,"Rate per 100,000 inhabitants",,393.2,5.3,64,65.7,258.2,"2,361.90",534,"1,670.00",157.8
OH,,704283, ,,,,, ,,,
OH,Includes Portage3 and Summit Counties,,,,,,,,,,
OH,City of Akron,197690,1704,38,221,387,"1,058","7,159","1,740","4,701",718
OH,Total area actually reporting,0.96,2509,45,336,495,"1,633","15,101","2,883","11,194","1,024"
OH,Estimated total,1,2547,45,343,514,"1,645","15,677","2,927","11,687","1,063"
OH,"Rate per 100,000 inhabitants",,361.6,6.4,48.7,73,233.6,"2,226.00",415.6,"1,659.40",150.9
GA,,147142, ,,,,, ,,,
GA,"Includes Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
GA,City of Albany,72594,809,15,28,113,653,"3,704",760,"2,666",278
GA,Total area actually reporting,0.98,1069,17,45,139,868,"5,402","1,134","3,909",359
GA,Estimated total,1,1072,17,45,140,870,"5,495","1,138","3,995",362
GA,"Rate per 100,000 inhabitants",,728.5,11.6,30.6,95.1,591.3,"3,734.50",773.4,"2,715.10",246
NY,,871741,,,,,,,,,
NY,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
NY,City of Albany,98322,823,12,52,209,550,"3,147",432,"2,585",130
NY,City of Schenectady,65550,620,1,57,136,426,"2,106",353,"1,542",211
NY,City of Troy,49491,283,1,22,93,167,"1,411",250,"1,082",79
NY,Total area actually reporting,1,2472,19,334,544,"1,575","16,477","1,977","13,797",703
NY,Estimated total,1,2473,19,334,544,"1,576","16,496","1,978","13,815",703
NY,"Rate per 100,000 inhabitants",,283.7,2.2,38.3,62.4,180.8,"1,892.30",226.9,"1,584.80",80.6
NM,,915468, ,,,,, ,,,
NM,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
NM,City of Albuquerque,560235,7646,69,479,"1,979","5,119","34,619","6,378","21,625","6,616"
NM,Total area actually reporting,1,9930,87,641,"2,181","7,021","41,440","7,964","25,989","7,487"
NM,"Rate per 100,000 inhabitants",,1084.7,9.5,70,238.2,766.9,"4,526.60",869.9,"2,838.90",817.8
LA,,152464, ,,,,, ,,,
LA,Includes Grant and Rapides Parishes,,,,,,,,,,
LA,City of Alexandria,47238,685,12,17,128,528,"3,973",996,"2,694",283
LA,Total area actually reporting,0.99,1174,16,70,157,931,"6,414","1,732","4,246",436
LA,Estimated total,1,1182,16,70,157,939,"6,449","1,740","4,272",437
LA,"Rate per 100,000 inhabitants",,775.3,10.5,45.9,103,615.9,"4,229.90","1,141.30","2,802.00",286.6
PA,,841039,,,,,,,,,
PA,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
PA,City of Allentown,121743,412,11,49,183,169,"2,821",463,"2,100",258
PA,City of Bethlehem,75809,207,1,32,50,124,"1,281",217,"1,008",56
PA,Total area actually reporting,1,1380,16,208,347,809,"12,097","1,706","9,695",696
PA,"Rate per 100,000 inhabitants",,164.1,1.9,24.7,41.3,96.2,"1,438.30",202.8,"1,152.70",82.8
PA,,122830, ,,,,, ,,,
PA,Includes Blair County,,,,,,,,,,
PA,City of Altoona,43840,165,3,67,27,68,686,188,464,34
PA,Total area actually reporting,1,284,3,88,32,161,"1,317",285,987,45
PA,"Rate per 100,000 inhabitants",,231.2,2.4,71.6,26.1,131.1,"1,072.20",232,803.5,36.6
TX,,266043, ,,,,, ,,,
TX,"Includes Armstrong, Carson, Oldham, Potter,2 and Randall Counties",,,,,,,,,,
TX,City of Amarillo,201082,1622,12,199,305,"1,106","8,433","1,527","5,996",910
TX,Total area actually reporting,1,1757,13,235,312,"1,197","9,116","1,685","6,458",973
TX,"Rate per 100,000 inhabitants",,660.4,4.9,88.3,117.3,449.9,"3,426.50",633.4,"2,427.40",365.7
AK,,309917, ,,,,, ,,,
AK,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
AK,City of Anchorage,291992,3824,26,613,717,"2,468","14,389","2,068","9,498","2,823"
AK,Total area actually reporting,1,3916,26,620,729,"2,541","15,548","2,180","10,359","3,009"
